Tournament,Stage,Match Type,Match Name,Map,Round Number,Eliminator Team,Eliminator,Eliminator Agent,Eliminated Team,Eliminated,Eliminated Agent,Kill Type
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,13,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,13,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,14,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,14,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,21,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,21,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,7,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,7,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,raze,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,7,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,8,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,8,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,8,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,brimstone,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,raze,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,brimstone,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,15,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,15,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,happywei,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,16,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,16,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,happywei,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,20,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,20,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,17,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,coconut,gekko,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,17,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,Viva,brimstone,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,17,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,Rarga,raze,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,22,Paper Rex,d4v41,viper,Xi Lai Gaming,Viva,brimstone,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,22,Paper Rex,d4v41,viper,Xi Lai Gaming,happywei,viper,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,22,Paper Rex,d4v41,viper,Xi Lai Gaming,NoMan,skye,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Paper Rex,PatMen,fade,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Paper Rex,PatMen,fade,Xi Lai Gaming,happywei,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,19,Paper Rex,PatMen,fade,Xi Lai Gaming,Viva,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,19,Paper Rex,PatMen,fade,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,21,Paper Rex,PatMen,fade,Xi Lai Gaming,happywei,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,21,Paper Rex,PatMen,fade,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,Paper Rex,something,yoru,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,Paper Rex,something,yoru,Xi Lai Gaming,Viva,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,6,Paper Rex,something,yoru,Xi Lai Gaming,Viva,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,6,Paper Rex,something,yoru,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Paper Rex,something,yoru,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Paper Rex,something,yoru,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,13,Paper Rex,something,yoru,Xi Lai Gaming,happywei,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,13,Paper Rex,something,yoru,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,16,Paper Rex,something,yoru,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,16,Paper Rex,something,yoru,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,11,Paper Rex,something,yoru,Xi Lai Gaming,Rarga,raze,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,11,Paper Rex,something,yoru,Xi Lai Gaming,coconut,gekko,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,11,Paper Rex,something,yoru,Xi Lai Gaming,NoMan,skye,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,11,Paper Rex,something,yoru,Xi Lai Gaming,happywei,viper,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,11,Paper Rex,something,yoru,Xi Lai Gaming,NoMan,skye,1v2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,11,Paper Rex,something,yoru,Xi Lai Gaming,happywei,viper,1v2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,1,Xi Lai Gaming,NoMan,skye,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,1,Xi Lai Gaming,NoMan,skye,Paper Rex,Jinggg,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,Xi Lai Gaming,NoMan,skye,Paper Rex,d4v41,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,Xi Lai Gaming,NoMan,skye,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Xi Lai Gaming,NoMan,skye,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Xi Lai Gaming,NoMan,skye,Paper Rex,d4v41,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,6,Xi Lai Gaming,NoMan,skye,Paper Rex,f0rsakeN,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,6,Xi Lai Gaming,NoMan,skye,Paper Rex,PatMen,fade,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,9,Xi Lai Gaming,NoMan,skye,Paper Rex,d4v41,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,9,Xi Lai Gaming,NoMan,skye,Paper Rex,Jinggg,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,19,Xi Lai Gaming,NoMan,skye,Paper Rex,f0rsakeN,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,19,Xi Lai Gaming,NoMan,skye,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,2,Xi Lai Gaming,coconut,gekko,Paper Rex,d4v41,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,2,Xi Lai Gaming,coconut,gekko,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,4,Xi Lai Gaming,coconut,gekko,Paper Rex,f0rsakeN,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,4,Xi Lai Gaming,coconut,gekko,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,13,Xi Lai Gaming,coconut,gekko,Paper Rex,f0rsakeN,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,13,Xi Lai Gaming,coconut,gekko,Paper Rex,Jinggg,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Xi Lai Gaming,coconut,gekko,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Xi Lai Gaming,coconut,gekko,Paper Rex,PatMen,fade,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,19,Xi Lai Gaming,coconut,gekko,Paper Rex,Jinggg,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,19,Xi Lai Gaming,coconut,gekko,Paper Rex,PatMen,fade,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,6,Xi Lai Gaming,Rarga,raze,Paper Rex,Jinggg,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,6,Xi Lai Gaming,Rarga,raze,Paper Rex,d4v41,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,15,Xi Lai Gaming,Rarga,raze,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,15,Xi Lai Gaming,Rarga,raze,Paper Rex,PatMen,fade,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Xi Lai Gaming,Rarga,raze,Paper Rex,f0rsakeN,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Xi Lai Gaming,Rarga,raze,Paper Rex,d4v41,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Xi Lai Gaming,Rarga,raze,Paper Rex,d4v41,viper,1v2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Xi Lai Gaming,Rarga,raze,Paper Rex,f0rsakeN,brimstone,1v2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,11,Xi Lai Gaming,Viva,brimstone,Paper Rex,f0rsakeN,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,11,Xi Lai Gaming,Viva,brimstone,Paper Rex,Jinggg,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,22,Xi Lai Gaming,Viva,brimstone,Paper Rex,something,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,22,Xi Lai Gaming,Viva,brimstone,Paper Rex,f0rsakeN,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Xi Lai Gaming,Viva,brimstone,Paper Rex,something,yoru,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Xi Lai Gaming,Viva,brimstone,Paper Rex,PatMen,fade,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Xi Lai Gaming,Viva,brimstone,Paper Rex,d4v41,viper,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Xi Lai Gaming,Viva,brimstone,Paper Rex,Jinggg,raze,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,9,Xi Lai Gaming,Viva,brimstone,Paper Rex,f0rsakeN,brimstone,1v2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,9,Xi Lai Gaming,Viva,brimstone,Paper Rex,PatMen,fade,1v2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Xi Lai Gaming,Viva,brimstone,Paper Rex,Jinggg,raze,1v4
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Xi Lai Gaming,Viva,brimstone,Paper Rex,d4v41,viper,1v4
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Xi Lai Gaming,Viva,brimstone,Paper Rex,something,yoru,1v4
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,10,Xi Lai Gaming,Viva,brimstone,Paper Rex,PatMen,fade,1v4
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,2,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,2,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,sova,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,6,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,neon,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,6,Paper Rex,Jinggg,raze,Xi Lai Gaming,happywei,cypher,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,9,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,sova,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,9,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,omen,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,sova,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,happywei,cypher,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,yoru,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,18,Paper Rex,Jinggg,raze,Xi Lai Gaming,happywei,cypher,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,18,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,sova,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,18,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,yoru,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,1,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,happywei,cypher,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,1,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,coconut,omen,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,8,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,NoMan,neon,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,8,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,happywei,cypher,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,8,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,coconut,omen,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,8,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,Rarga,yoru,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,8,Paper Rex,f0rsakeN,omen,Paper Rex,f0rsakeN,omen,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,11,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,Rarga,yoru,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,11,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,happywei,cypher,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,11,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,Viva,sova,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,11,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,coconut,omen,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,13,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,coconut,omen,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,13,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,NoMan,neon,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,13,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,Rarga,yoru,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,13,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,Viva,sova,4k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,13,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,Rarga,yoru,1v2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,13,Paper Rex,f0rsakeN,omen,Xi Lai Gaming,Viva,sova,1v2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,10,Paper Rex,d4v41,sage,Xi Lai Gaming,Rarga,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,10,Paper Rex,d4v41,sage,Xi Lai Gaming,happywei,cypher,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,14,Paper Rex,d4v41,sage,Xi Lai Gaming,NoMan,neon,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,14,Paper Rex,d4v41,sage,Xi Lai Gaming,Viva,sova,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,16,Paper Rex,d4v41,sage,Xi Lai Gaming,happywei,cypher,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,16,Paper Rex,d4v41,sage,Xi Lai Gaming,coconut,omen,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,16,Paper Rex,d4v41,sage,Xi Lai Gaming,NoMan,neon,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,1,Paper Rex,d4v41,sage,Xi Lai Gaming,Rarga,yoru,1v1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,10,Paper Rex,d4v41,sage,Xi Lai Gaming,happywei,cypher,1v1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,16,Paper Rex,d4v41,sage,Xi Lai Gaming,NoMan,neon,1v1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,4,Paper Rex,PatMen,viper,Xi Lai Gaming,Rarga,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,4,Paper Rex,PatMen,viper,Xi Lai Gaming,NoMan,neon,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,10,Paper Rex,something,sova,Xi Lai Gaming,NoMan,neon,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,10,Paper Rex,something,sova,Xi Lai Gaming,coconut,omen,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,14,Paper Rex,something,sova,Xi Lai Gaming,Rarga,yoru,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,14,Paper Rex,something,sova,Xi Lai Gaming,coconut,omen,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,2,Paper Rex,something,sova,Xi Lai Gaming,NoMan,neon,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,2,Paper Rex,something,sova,Xi Lai Gaming,happywei,cypher,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,2,Paper Rex,something,sova,Xi Lai Gaming,coconut,omen,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,15,Paper Rex,something,sova,Xi Lai Gaming,Rarga,yoru,5k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,15,Paper Rex,something,sova,Xi Lai Gaming,Viva,sova,5k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,15,Paper Rex,something,sova,Xi Lai Gaming,NoMan,neon,5k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,15,Paper Rex,something,sova,Xi Lai Gaming,coconut,omen,5k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,15,Paper Rex,something,sova,Xi Lai Gaming,happywei,cypher,5k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,6,Paper Rex,something,sova,Xi Lai Gaming,Viva,sova,1v1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,11,Xi Lai Gaming,NoMan,neon,Paper Rex,d4v41,sage,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,11,Xi Lai Gaming,NoMan,neon,Paper Rex,something,sova,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,13,Xi Lai Gaming,NoMan,neon,Paper Rex,d4v41,sage,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,13,Xi Lai Gaming,NoMan,neon,Paper Rex,PatMen,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,15,Xi Lai Gaming,NoMan,neon,Paper Rex,Jinggg,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,15,Xi Lai Gaming,NoMan,neon,Paper Rex,PatMen,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,16,Xi Lai Gaming,NoMan,neon,Paper Rex,PatMen,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,16,Xi Lai Gaming,NoMan,neon,Paper Rex,something,sova,2k
