Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,4,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,5,Sentinels,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,5,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,6,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,6,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,7,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,7,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,8,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,8,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,9,Sentinels,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,9,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,10,GIANTX,Time Expiry (No Plant),Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,10,Sentinels,Time Expiry (Failed to Plant),Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,11,Sentinels,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,11,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,12,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,12,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,13,Sentinels,Defused,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,13,GIANTX,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,14,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,14,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,15,Sentinels,Defused,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,15,GIANTX,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,16,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,16,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,17,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,17,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,18,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,18,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,19,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,19,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,1,GIANTX,Defused,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,1,Sentinels,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,2,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,2,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,3,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,3,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,4,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,4,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,5,GIANTX,Time Expiry (No Plant),Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,5,Sentinels,Time Expiry (Failed to Plant),Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,6,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,6,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,7,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,7,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,8,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,8,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,9,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,9,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,10,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,10,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,11,GIANTX,Defused,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,11,Sentinels,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,12,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,12,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,13,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,13,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,14,Sentinels,Defused,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,14,GIANTX,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,15,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,15,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,16,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,16,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,17,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,17,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,1,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,1,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,2,Sentinels,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,2,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,3,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,3,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,4,Sentinels,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,4,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,5,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,5,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,6,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,6,GIANTX,Eliminated,Loss
