Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,coconut,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,Rarga,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,NoMan,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,happywei,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,Viva,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,coconut,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,Rarga,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,PatMen,Xi Lai Gaming,NoMan,2,2,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,PatMen,Xi Lai Gaming,happywei,3,3,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,PatMen,Xi Lai Gaming,Viva,2,2,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,PatMen,Xi Lai Gaming,coconut,3,2,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,PatMen,Xi Lai Gaming,Rarga,2,4,-2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,d4v41,Xi Lai Gaming,NoMan,1,5,-4,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,d4v41,Xi Lai Gaming,happywei,4,0,4,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,d4v41,Xi Lai Gaming,Viva,4,3,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,d4v41,Xi Lai Gaming,coconut,3,2,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,d4v41,Xi Lai Gaming,Rarga,2,4,-2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,something,Xi Lai Gaming,NoMan,6,4,2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,something,Xi Lai Gaming,happywei,5,0,5,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,something,Xi Lai Gaming,Viva,4,3,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,something,Xi Lai Gaming,coconut,3,3,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,something,Xi Lai Gaming,Rarga,3,2,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,f0rsakeN,Xi Lai Gaming,NoMan,4,2,2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,f0rsakeN,Xi Lai Gaming,happywei,5,3,2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,f0rsakeN,Xi Lai Gaming,Viva,1,3,-2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,f0rsakeN,Xi Lai Gaming,coconut,3,3,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,f0rsakeN,Xi Lai Gaming,Rarga,5,2,3,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,Jinggg,Xi Lai Gaming,NoMan,7,4,3,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,Jinggg,Xi Lai Gaming,happywei,1,2,-1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,Jinggg,Xi Lai Gaming,Viva,5,3,2,All Kills
